work_order_number,facility_id,planned_material_cost,actual_material_cost,planned_labor_hours,actual_labor_hours,material_code,supplier_id,units_produced,units_scrapped,quality_issues,machine_id,production_period_start,production_period_end
FB-BATCH-3014,1,1369.42,1347.13,39.4,42.9,PACKAGING-CARTON,SUP-FOOD-001,1456,27,False,OVEN-202,2025-09-15,2025-09-16
FB-BATCH-3015,1,4493.88,4928.51,35.9,37.1,INGREDIENT-SUGAR,SUP-FOOD-002,838,7,False,OVEN-202,2025-09-19,2025-09-22
FB-BATCH-3016,1,1507.25,1672.86,60.6,57.0,PACKAGING-CARTON,SUP-FOOD-001,882,10,False,PACK-303,2025-09-18,2025-09-21
FB-BATCH-3017,1,4167.28,4605.08,29.4,31.0,INGREDIENT-FLOUR,SUP-FOOD-002,1143,21,False,MIX-101,2025-10-03,2025-10-05
FB-BATCH-3018,1,4859.36,5282.56,61.3,58.8,INGREDIENT-SUGAR,SUP-FOOD-002,1877,26,False,PACK-303,2025-09-16,2025-09-19
FB-BATCH-3019,1,1385.41,1409.68,79.7,73.8,PACKAGING-CARTON,SUP-FOOD-002,1974,22,False,MIX-101,2025-09-20,2025-09-23
FB-BATCH-3020,1,3427.7,3716.56,77.3,81.9,INGREDIENT-FLOUR,SUP-FOOD-002,1792,20,False,OVEN-202,2025-09-16,2025-09-19
FB-BATCH-3021,1,2218.67,2239.97,36.9,34.5,INGREDIENT-YEAST,SUP-FOOD-001,1118,12,False,OVEN-202,2025-09-18,2025-09-21
FB-BATCH-3022,1,3957.01,3939.0,33.8,34.1,INGREDIENT-FLOUR,SUP-FOOD-001,989,18,False,MIX-101,2025-09-24,2025-09-26
FB-BATCH-3023,1,5381.78,5119.28,36.4,36.6,INGREDIENT-SUGAR,SUP-FOOD-002,898,5,False,PACK-303,2025-10-02,2025-10-03
FB-BATCH-3024,1,1793.77,1727.95,43.0,46.3,PACKAGING-CARTON,SUP-FOOD-003,1242,17,False,SEAL-404,2025-10-02,2025-10-05
FB-BATCH-3025,1,1670.46,1673.39,31.6,34.3,PACKAGING-CARTON,SUP-FOOD-001,1364,2,False,MIX-101,2025-10-07,2025-10-10
FB-BATCH-3026,1,4397.77,4374.36,57.0,52.8,INGREDIENT-SUGAR,SUP-FOOD-003,1246,19,False,SEAL-404,2025-10-10,2025-10-12
FB-BATCH-3027,1,4782.12,4615.27,64.4,69.5,INGREDIENT-SUGAR,SUP-FOOD-001,1376,1,False,PACK-303,2025-09-30,2025-10-03
FB-BATCH-3028,1,3954.3,4685.73,75.0,80.0,INGREDIENT-FLOUR,SUP-FOOD-001,1445,214,True,MIX-101,2025-10-02,2025-10-05
FB-BATCH-3029,1,4143.95,4329.48,77.0,74.1,INGREDIENT-FLOUR,SUP-FOOD-001,827,6,False,SEAL-404,2025-10-04,2025-10-05
FB-BATCH-3030,1,1788.09,1953.69,56.6,52.7,PACKAGING-CARTON,SUP-FOOD-003,1641,26,False,SEAL-404,2025-10-11,2025-10-13
FB-BATCH-3031,1,1745.75,1774.71,79.1,83.5,PACKAGING-CARTON,SUP-FOOD-003,1359,19,False,PACK-303,2025-10-12,2025-10-13
FB-BATCH-3032,1,2556.72,2611.73,35.0,35.2,INGREDIENT-YEAST,SUP-FOOD-003,1464,9,False,SEAL-404,2025-09-23,2025-09-24
FB-BATCH-3033,1,2206.48,2284.34,70.9,76.8,INGREDIENT-YEAST,SUP-FOOD-001,1123,6,False,SEAL-404,2025-09-14,2025-09-17
FB-BATCH-3034,1,1443.46,1383.84,59.8,55.4,PACKAGING-CARTON,SUP-FOOD-002,1290,9,False,PACK-303,2025-10-08,2025-10-10
FB-BATCH-3035,1,5257.8,5008.53,38.8,37.0,INGREDIENT-SUGAR,SUP-FOOD-002,1628,33,False,SEAL-404,2025-09-25,2025-09-27
FB-BATCH-3036,1,5287.04,5090.94,31.9,34.8,INGREDIENT-SUGAR,SUP-FOOD-002,1320,15,False,OVEN-202,2025-10-03,2025-10-04
FB-BATCH-3037,1,2043.21,2111.59,34.2,35.0,INGREDIENT-YEAST,SUP-FOOD-002,893,16,False,SEAL-404,2025-09-25,2025-09-26
FB-BATCH-3038,1,5219.17,5673.68,34.4,34.4,INGREDIENT-SUGAR,SUP-FOOD-001,1964,7,False,OVEN-202,2025-10-04,2025-10-05
FB-BATCH-3039,1,4552.46,4941.39,42.8,44.3,INGREDIENT-SUGAR,SUP-FOOD-002,891,8,False,MIX-101,2025-10-12,2025-10-15
FB-BATCH-3040,1,4578.79,4770.57,71.4,74.0,INGREDIENT-SUGAR,SUP-FOOD-002,1826,27,False,PACK-303,2025-10-05,2025-10-08
FB-BATCH-3041,1,4539.86,4555.51,28.4,29.1,INGREDIENT-SUGAR,SUP-FOOD-002,1746,6,False,SEAL-404,2025-10-09,2025-10-11
FB-BATCH-3042,1,3451.03,3615.3,37.7,40.6,INGREDIENT-FLOUR,SUP-FOOD-002,1548,2,False,MIX-101,2025-10-01,2025-10-02
FB-BATCH-3043,1,1634.27,1784.08,32.8,31.6,PACKAGING-CARTON,SUP-FOOD-001,1647,24,False,MIX-101,2025-10-01,2025-10-03
FB-BATCH-3044,1,1490.27,1610.96,59.5,55.5,PACKAGING-CARTON,SUP-FOOD-002,1396,0,False,PACK-303,2025-09-17,2025-09-19
FB-BATCH-3045,1,1604.84,1657.93,60.3,59.2,PACKAGING-CARTON,SUP-FOOD-002,1142,19,False,MIX-101,2025-09-19,2025-09-20
FB-BATCH-3046,1,4695.44,4519.22,53.6,52.9,INGREDIENT-SUGAR,SUP-FOOD-003,845,10,False,PACK-303,2025-10-07,2025-10-08
FB-BATCH-3047,1,5027.48,5268.08,43.1,45.1,INGREDIENT-SUGAR,SUP-FOOD-002,1646,23,False,MIX-101,2025-09-14,2025-09-17
FB-BATCH-3048,1,5063.47,4954.58,26.9,28.5,INGREDIENT-SUGAR,SUP-FOOD-003,1749,31,False,PACK-303,2025-10-05,2025-10-07
FB-BATCH-3049,1,4042.89,4868.4,58.0,70.4,INGREDIENT-FLOUR,SUP-FOOD-002,1758,221,True,OVEN-202,2025-09-23,2025-09-25
FB-BATCH-3050,1,5042.32,5504.68,44.9,47.4,INGREDIENT-SUGAR,SUP-FOOD-002,1905,26,False,PACK-303,2025-09-22,2025-09-25
FB-BATCH-3051,1,3645.75,3909.73,26.3,27.6,INGREDIENT-FLOUR,SUP-FOOD-002,1607,1,False,OVEN-202,2025-10-03,2025-10-04
FB-BATCH-3052,1,3928.68,4278.96,66.3,64.3,INGREDIENT-FLOUR,SUP-FOOD-002,800,12,False,PACK-303,2025-09-18,2025-09-21
FB-BATCH-3053,1,1396.08,1364.78,41.5,45.1,PACKAGING-CARTON,SUP-FOOD-002,1894,7,False,SEAL-404,2025-09-14,2025-09-16
FB-BATCH-3054,1,1513.89,1661.59,65.0,62.8,PACKAGING-CARTON,SUP-FOOD-001,1172,20,False,SEAL-404,2025-10-08,2025-10-09
FB-BATCH-3055,1,4610.64,5029.09,56.5,60.9,INGREDIENT-SUGAR,SUP-FOOD-002,813,1,False,OVEN-202,2025-09-23,2025-09-26
FB-BATCH-3056,1,4486.59,4638.0,48.7,48.7,INGREDIENT-FLOUR,SUP-FOOD-001,1099,9,False,MIX-101,2025-10-11,2025-10-12
FB-BATCH-3057,1,4542.44,4912.45,77.6,76.8,INGREDIENT-SUGAR,SUP-FOOD-003,1196,21,False,OVEN-202,2025-10-03,2025-10-06
FB-BATCH-3058,1,1687.13,1652.63,25.7,24.0,PACKAGING-CARTON,SUP-FOOD-002,988,3,False,PACK-303,2025-10-01,2025-10-02
FB-BATCH-3059,1,5234.83,5281.42,71.7,76.5,INGREDIENT-SUGAR,SUP-FOOD-002,1737,8,False,MIX-101,2025-09-17,2025-09-19
FB-BATCH-3060,1,5353.4,5936.8,57.8,62.1,INGREDIENT-SUGAR,SUP-FOOD-002,1481,25,False,OVEN-202,2025-10-09,2025-10-12
FB-BATCH-3061,1,5132.86,5681.89,31.1,30.0,INGREDIENT-SUGAR,SUP-FOOD-001,1479,7,False,OVEN-202,2025-10-02,2025-10-03
FB-BATCH-3062,1,3867.9,3972.52,31.6,33.3,INGREDIENT-FLOUR,SUP-FOOD-001,1520,18,False,PACK-303,2025-10-06,2025-10-07
FB-BATCH-3063,1,1584.29,1716.59,38.3,37.7,PACKAGING-CARTON,SUP-FOOD-002,1323,22,False,SEAL-404,2025-09-22,2025-09-23
FB-BATCH-3064,1,2554.1,2439.65,38.4,39.9,INGREDIENT-YEAST,SUP-FOOD-003,849,13,False,PACK-303,2025-09-22,2025-09-24
FB-BATCH-3065,1,4431.01,4215.93,39.1,39.6,INGREDIENT-SUGAR,SUP-FOOD-003,934,7,False,OVEN-202,2025-09-22,2025-09-24
FB-BATCH-3066,1,2068.36,2553.5,80.0,105.3,INGREDIENT-YEAST,SUP-FOOD-003,1101,133,True,OVEN-202,2025-10-08,2025-10-11
FB-BATCH-3067,1,2186.81,2420.3,53.2,53.8,INGREDIENT-YEAST,SUP-FOOD-003,1125,17,False,SEAL-404,2025-10-10,2025-10-11
FB-BATCH-3068,1,2047.98,2290.79,52.5,50.2,INGREDIENT-YEAST,SUP-FOOD-002,1422,6,False,MIX-101,2025-10-03,2025-10-04
FB-BATCH-3069,1,4734.69,4499.42,57.9,56.3,INGREDIENT-SUGAR,SUP-FOOD-001,1079,18,False,SEAL-404,2025-09-22,2025-09-25
FB-BATCH-3070,1,2305.17,2336.2,29.3,32.0,INGREDIENT-YEAST,SUP-FOOD-001,1128,9,False,MIX-101,2025-09-29,2025-10-02
FB-BATCH-3071,1,1477.94,1571.47,57.6,54.2,PACKAGING-CARTON,SUP-FOOD-003,1656,9,False,PACK-303,2025-09-24,2025-09-27
FB-BATCH-3072,1,2126.08,2411.44,70.3,83.3,INGREDIENT-YEAST,SUP-FOOD-003,1161,136,True,OVEN-202,2025-10-02,2025-10-05
FB-BATCH-3073,1,3607.09,3470.46,42.5,42.4,INGREDIENT-FLOUR,SUP-FOOD-003,1326,5,False,PACK-303,2025-09-30,2025-10-03
FB-BATCH-3074,1,2420.02,2395.64,48.4,46.3,INGREDIENT-YEAST,SUP-FOOD-003,1694,9,False,MIX-101,2025-09-17,2025-09-19
FB-BATCH-3075,1,2236.31,2743.91,79.8,89.0,INGREDIENT-YEAST,SUP-FOOD-002,1666,179,True,OVEN-202,2025-10-09,2025-10-10
FB-BATCH-3076,1,1452.89,1580.22,69.2,64.7,PACKAGING-CARTON,SUP-FOOD-001,1469,20,False,MIX-101,2025-10-12,2025-10-13
FB-BATCH-3077,1,1660.4,1811.96,27.8,28.4,PACKAGING-CARTON,SUP-FOOD-001,1286,26,False,SEAL-404,2025-10-11,2025-10-14
FB-BATCH-3078,1,1793.02,1986.48,76.7,74.2,PACKAGING-CARTON,SUP-FOOD-003,1123,7,False,MIX-101,2025-09-16,2025-09-18
FB-BATCH-3079,1,4170.7,3984.1,63.6,61.8,INGREDIENT-SUGAR,SUP-FOOD-003,1336,18,False,MIX-101,2025-09-16,2025-09-19
FB-BATCH-3080,1,3619.1,3878.63,25.3,27.0,INGREDIENT-FLOUR,SUP-FOOD-001,1109,21,False,PACK-303,2025-09-27,2025-09-30
FB-BATCH-3081,1,2622.02,2728.32,62.6,58.4,INGREDIENT-YEAST,SUP-FOOD-003,1853,32,False,MIX-101,2025-10-01,2025-10-02
FB-BATCH-3082,1,1410.49,1457.4,62.3,67.3,PACKAGING-CARTON,SUP-FOOD-002,1752,29,False,MIX-101,2025-09-23,2025-09-24
FB-BATCH-3083,1,2136.47,2081.37,31.7,32.4,INGREDIENT-YEAST,SUP-FOOD-002,1041,17,False,SEAL-404,2025-09-16,2025-09-19
FB-BATCH-3084,1,3491.1,3393.57,40.5,42.9,INGREDIENT-FLOUR,SUP-FOOD-002,1351,2,False,PACK-303,2025-09-30,2025-10-03
FB-BATCH-3085,1,4281.01,4417.82,56.3,60.1,INGREDIENT-FLOUR,SUP-FOOD-001,922,5,False,SEAL-404,2025-09-29,2025-09-30
FB-BATCH-3086,1,4848.0,4720.94,28.5,29.1,INGREDIENT-SUGAR,SUP-FOOD-002,1490,22,False,OVEN-202,2025-09-13,2025-09-14
FB-BATCH-3087,1,4889.16,5229.28,29.8,28.8,INGREDIENT-SUGAR,SUP-FOOD-003,871,5,False,MIX-101,2025-09-21,2025-09-23
FB-BATCH-3088,1,4195.19,4471.66,45.1,48.5,INGREDIENT-SUGAR,SUP-FOOD-003,992,1,False,MIX-101,2025-09-29,2025-09-30
FB-BATCH-3089,1,4421.03,4780.77,54.8,56.2,INGREDIENT-SUGAR,SUP-FOOD-002,1525,16,False,SEAL-404,2025-09-20,2025-09-21
FB-BATCH-3090,1,2262.73,2197.11,59.9,61.1,INGREDIENT-YEAST,SUP-FOOD-003,1403,2,False,PACK-303,2025-09-17,2025-09-19
FB-BATCH-3091,1,3540.66,3675.93,49.7,54.3,INGREDIENT-FLOUR,SUP-FOOD-001,1012,19,False,OVEN-202,2025-10-03,2025-10-05
FB-BATCH-3092,1,3634.61,4050.61,67.0,67.2,INGREDIENT-FLOUR,SUP-FOOD-002,846,1,False,PACK-303,2025-09-15,2025-09-16
FB-BATCH-3093,1,2198.73,2090.09,70.7,72.3,INGREDIENT-YEAST,SUP-FOOD-002,1218,13,False,MIX-101,2025-09-29,2025-10-02
FB-BATCH-3094,1,5243.23,5607.04,77.4,81.0,INGREDIENT-SUGAR,SUP-FOOD-002,972,8,False,OVEN-202,2025-10-10,2025-10-13
FB-BATCH-3095,1,1529.27,1493.58,36.6,36.2,PACKAGING-CARTON,SUP-FOOD-002,846,12,False,MIX-101,2025-09-15,2025-09-16
FB-BATCH-3096,1,5253.14,5319.44,56.6,61.4,INGREDIENT-SUGAR,SUP-FOOD-003,1984,13,False,SEAL-404,2025-09-20,2025-09-22
FB-BATCH-3097,1,5261.08,5045.37,52.8,51.8,INGREDIENT-SUGAR,SUP-FOOD-002,1352,3,False,SEAL-404,2025-10-05,2025-10-07
FB-BATCH-3098,1,4187.56,4708.13,56.5,65.0,INGREDIENT-FLOUR,SUP-FOOD-001,1390,176,True,OVEN-202,2025-09-18,2025-09-20
FB-BATCH-3099,1,4489.94,5022.5,48.4,49.2,INGREDIENT-SUGAR,SUP-FOOD-002,1396,17,False,SEAL-404,2025-09-17,2025-09-19
