work_order_number,facility_id,demo_mode,material_code,supplier_id,machine_id,shift_id,planned_material_cost,actual_material_cost,planned_labor_hours,actual_labor_hours,units_produced,units_scrapped,quality_issues,production_period_start,production_period_end,upload_timestamp
WO-PROD-2020,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-204,DAY,10870.09,10479.68,51.9,51.2,270,8,False,2025-09-23,2025-09-25,2025-10-07T15:32:56.035282
WO-PROD-2021,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-204,DAY,12153.89,11991.11,71.7,71.1,483,15,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035288
WO-PROD-2022,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-101,NIGHT,8747.89,8344.39,73.4,68.0,475,11,False,2025-09-16,2025-09-18,2025-10-07T15:32:56.035293
WO-PROD-2023,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-101,DAY,9283.6,9407.34,74.2,70.4,513,19,False,2025-09-25,2025-09-27,2025-10-07T15:32:56.035299
WO-PROD-2024,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-101,DAY,13993.47,13782.29,75.8,75.8,223,15,False,2025-09-25,2025-09-27,2025-10-07T15:32:56.035304
WO-PROD-2025,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-305,NIGHT,14746.5,15626.37,51.9,51.5,322,6,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.035312
WO-PROD-2026,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-101,NIGHT,10789.65,11417.3,79.8,75.9,584,9,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.035318
WO-PROD-2027,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-204,DAY,11037.38,10951.58,32.9,36.1,326,16,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.035324
WO-PROD-2028,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-204,DAY,8003.68,8251.48,40.4,41.2,257,18,False,2025-09-18,2025-09-20,2025-10-07T15:32:56.035330
WO-PROD-2029,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-101,NIGHT,11653.54,12199.1,71.9,70.6,533,16,False,2025-09-09,2025-09-11,2025-10-07T15:32:56.035335
WO-PROD-2030,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-305,NIGHT,9863.66,10595.61,30.2,29.3,347,19,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035341
WO-PROD-2031,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-305,NIGHT,14324.69,13615.65,55.7,53.2,352,9,False,2025-09-12,2025-09-14,2025-10-07T15:32:56.035346
WO-PROD-2032,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-101,NIGHT,11246.71,11565.51,41.9,42.7,598,20,False,2025-09-23,2025-09-25,2025-10-07T15:32:56.035352
WO-PROD-2033,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-101,DAY,8469.01,8384.28,67.4,68.4,523,14,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.035358
WO-PROD-2034,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-101,NIGHT,14024.67,14167.93,59.0,63.8,326,13,False,2025-09-18,2025-09-20,2025-10-07T15:32:56.035363
WO-PROD-2035,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-305,NIGHT,12415.67,12919.16,51.1,51.8,309,16,False,2025-09-30,2025-10-02,2025-10-07T15:32:56.035369
WO-PROD-2036,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-101,NIGHT,8975.71,8912.21,79.4,87.5,285,8,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035376
WO-PROD-2037,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-204,DAY,11314.64,10783.45,75.7,76.1,252,15,False,2025-09-13,2025-09-15,2025-10-07T15:32:56.035382
WO-PROD-2038,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-204,DAY,14176.82,13761.99,53.3,50.9,328,9,False,2025-09-17,2025-09-19,2025-10-07T15:32:56.035387
WO-PROD-2039,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-305,DAY,14773.63,15049.79,64.9,66.0,340,13,False,2025-10-01,2025-10-03,2025-10-07T15:32:56.035393
WO-PROD-2040,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-305,DAY,9528.55,9337.2,56.1,53.9,370,6,False,2025-10-03,2025-10-05,2025-10-07T15:32:56.035399
WO-PROD-2041,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-204,NIGHT,11001.12,11463.28,35.1,32.9,310,18,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.035404
WO-PROD-2042,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-305,NIGHT,9112.24,9056.21,55.2,51.4,228,9,False,2025-09-11,2025-09-13,2025-10-07T15:32:56.035410
WO-PROD-2043,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-305,DAY,13502.3,13741.44,54.5,53.6,263,8,False,2025-09-21,2025-09-23,2025-10-07T15:32:56.035415
WO-PROD-2044,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-101,DAY,13258.18,12904.74,58.6,60.5,432,12,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.035421
WO-PROD-2045,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-101,NIGHT,12362.01,12174.79,31.8,29.3,496,10,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035426
WO-PROD-2046,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-305,NIGHT,9201.05,9665.95,62.0,66.1,244,12,False,2025-09-17,2025-09-19,2025-10-07T15:32:56.035432
WO-PROD-2047,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-204,DAY,11418.38,11050.85,37.4,36.3,549,19,False,2025-09-30,2025-10-02,2025-10-07T15:32:56.035437
WO-PROD-2048,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-101,NIGHT,11856.55,11313.68,40.8,39.6,533,5,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.035443
WO-PROD-2049,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-101,DAY,14305.42,15124.14,40.9,41.1,405,20,False,2025-09-14,2025-09-16,2025-10-07T15:32:56.035449
WO-PROD-2050,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-101,NIGHT,14345.38,13732.83,52.3,56.8,235,11,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035454
WO-PROD-2051,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-204,NIGHT,10815.39,11084.92,35.5,38.9,522,13,False,2025-10-05,2025-10-07,2025-10-07T15:32:56.035460
WO-PROD-2052,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-305,NIGHT,13684.7,14739.03,53.1,59.4,506,14,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035465
WO-PROD-2053,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-101,DAY,10942.57,11756.11,41.6,44.8,232,7,False,2025-10-03,2025-10-05,2025-10-07T15:32:56.035471
WO-PROD-2054,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-204,DAY,12205.28,11951.34,72.9,78.5,449,8,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.035477
WO-PROD-2055,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-305,NIGHT,8160.39,8728.78,40.3,42.1,561,13,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.035483
WO-PROD-2056,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-204,NIGHT,11861.78,11311.24,36.7,34.9,283,9,False,2025-09-14,2025-09-16,2025-10-07T15:32:56.035488
WO-PROD-2057,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-204,DAY,13308.89,14118.0,64.6,71.3,450,14,False,2025-09-12,2025-09-14,2025-10-07T15:32:56.035494
WO-PROD-2058,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-101,NIGHT,11611.31,11387.79,41.1,42.2,481,7,False,2025-09-25,2025-09-27,2025-10-07T15:32:56.035499
WO-PROD-2059,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-305,NIGHT,11540.76,11897.07,46.9,45.0,309,9,False,2025-09-14,2025-09-16,2025-10-07T15:32:56.035505
WO-PROD-2060,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-305,NIGHT,10703.33,10368.79,60.7,58.7,230,20,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.035510
WO-PROD-2061,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-204,NIGHT,14077.62,14414.88,77.7,85.6,319,6,False,2025-09-16,2025-09-18,2025-10-07T15:32:56.035516
WO-PROD-2062,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-204,NIGHT,13891.02,13340.39,66.7,61.5,478,7,False,2025-09-17,2025-09-19,2025-10-07T15:32:56.035521
WO-PROD-2063,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-101,DAY,14781.36,15510.54,38.4,40.6,336,9,False,2025-10-04,2025-10-06,2025-10-07T15:32:56.035527
WO-PROD-2064,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-101,DAY,14302.99,14371.17,59.8,63.3,532,13,False,2025-10-01,2025-10-03,2025-10-07T15:32:56.035533
WO-PROD-2065,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-204,DAY,12689.75,12864.9,53.9,53.6,525,17,False,2025-09-23,2025-09-25,2025-10-07T15:32:56.035538
WO-PROD-2066,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-204,NIGHT,9667.11,10281.78,54.0,53.7,228,9,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035544
WO-PROD-2067,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-204,NIGHT,9660.53,9580.24,53.0,58.4,497,11,False,2025-09-20,2025-09-22,2025-10-07T15:32:56.035549
WO-PROD-2068,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-305,NIGHT,11011.08,10497.01,73.6,73.0,405,8,False,2025-10-03,2025-10-05,2025-10-07T15:32:56.035555
WO-PROD-2069,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-101,NIGHT,10139.53,10758.07,30.5,28.7,251,8,False,2025-09-16,2025-09-18,2025-10-07T15:32:56.035560
WO-PROD-2070,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-204,DAY,14352.77,14066.45,37.3,37.8,200,17,False,2025-09-10,2025-09-12,2025-10-07T15:32:56.035566
WO-PROD-2071,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-305,DAY,9349.19,9468.1,35.8,39.3,574,7,False,2025-10-04,2025-10-06,2025-10-07T15:32:56.035571
WO-PROD-2072,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-305,DAY,10636.73,11034.62,76.6,85.6,292,15,False,2025-09-17,2025-09-19,2025-10-07T15:32:56.035577
WO-PROD-2073,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-204,DAY,11596.17,11382.51,51.2,50.8,230,8,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.035582
WO-PROD-2074,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-305,NIGHT,12918.96,12900.0,78.3,86.0,480,12,False,2025-09-16,2025-09-18,2025-10-07T15:32:56.035588
WO-PROD-2075,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-305,NIGHT,12951.19,13539.17,69.7,71.8,453,8,False,2025-09-30,2025-10-02,2025-10-07T15:32:56.035594
WO-PROD-2076,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-101,DAY,10229.74,11032.62,47.2,46.9,362,8,False,2025-10-06,2025-10-08,2025-10-07T15:32:56.035600
WO-PROD-2077,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-204,NIGHT,11334.43,12175.54,43.5,40.7,316,19,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.035607
WO-PROD-2078,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-305,DAY,13894.55,13394.91,72.4,75.6,553,14,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.035612
WO-PROD-2079,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-101,DAY,9371.6,9026.4,40.9,43.5,560,16,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.035618
WO-PROD-2080,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-101,DAY,9181.31,9082.28,76.3,76.6,398,7,False,2025-09-16,2025-09-18,2025-10-07T15:32:56.035623
WO-PROD-2081,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-305,NIGHT,11618.01,11877.21,78.7,80.2,413,5,False,2025-09-26,2025-09-28,2025-10-07T15:32:56.035630
WO-PROD-2082,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-305,DAY,11678.34,11515.68,68.4,69.5,574,17,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.035635
WO-PROD-2083,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-204,NIGHT,11350.4,11890.62,68.0,74.3,427,14,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.035641
WO-PROD-2084,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-204,NIGHT,14555.4,15677.47,65.0,64.2,316,20,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.035646
WO-PROD-2085,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-305,DAY,13727.65,14487.87,36.0,39.5,240,17,False,2025-09-23,2025-09-25,2025-10-07T15:32:56.035652
WO-PROD-2086,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-305,DAY,9979.12,10426.34,75.9,76.3,355,6,False,2025-10-03,2025-10-05,2025-10-07T15:32:56.035657
WO-PROD-2087,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-204,DAY,10947.96,11175.18,75.0,69.6,315,17,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.035662
WO-PROD-2088,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-101,NIGHT,13496.97,14143.75,60.6,63.9,585,6,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.035668
WO-PROD-2089,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-101,NIGHT,9861.42,9699.88,41.4,40.5,310,10,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.035674
WO-PROD-2090,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-101,NIGHT,13818.34,13346.87,45.9,43.8,282,6,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.035679
WO-PROD-2091,1,True,MAT-PLASTIC-88,SUP-GAMMA-SUPPLY,M-101,NIGHT,10762.17,11220.41,38.7,38.8,597,19,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.035685
WO-PROD-2092,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-101,NIGHT,13642.84,13387.32,44.5,41.8,294,18,False,2025-09-15,2025-09-17,2025-10-07T15:32:56.035690
WO-PROD-2093,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-204,DAY,11274.72,11147.95,66.5,67.3,228,16,False,2025-09-26,2025-09-28,2025-10-07T15:32:56.035696
WO-PROD-2094,1,True,MAT-COPPER-105,SUP-GAMMA-SUPPLY,M-204,NIGHT,12933.8,13366.49,46.2,51.4,224,14,False,2025-09-14,2025-09-16,2025-10-07T15:32:56.035703
WO-PROD-2095,1,True,MAT-COPPER-105,SUP-BETA-METALS,M-305,NIGHT,14443.98,13911.77,49.4,46.7,200,8,False,2025-10-05,2025-10-07,2025-10-07T15:32:56.035708
WO-PROD-2096,1,True,MAT-ALUM-201,SUP-BETA-METALS,M-101,DAY,14681.07,14354.0,51.6,49.4,491,15,False,2025-10-04,2025-10-06,2025-10-07T15:32:56.035714
WO-PROD-2097,1,True,MAT-PLASTIC-88,SUP-BETA-METALS,M-101,DAY,14452.83,15467.3,44.5,44.0,255,19,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.035719
WO-PROD-2098,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-101,NIGHT,11284.54,11385.91,40.4,39.6,351,19,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.035759
WO-PROD-2099,1,True,MAT-ALUM-201,SUP-GAMMA-SUPPLY,M-204,DAY,8572.09,8925.09,67.6,75.4,584,5,False,2025-09-09,2025-09-11,2025-10-07T15:32:56.035790
