work_order_number,facility_id,demo_mode,material_code,supplier_id,machine_id,shift_id,planned_material_cost,actual_material_cost,planned_labor_hours,actual_labor_hours,units_produced,units_scrapped,quality_issues,production_period_start,production_period_end,upload_timestamp
WO-PROD-5010,1,True,MAT-STEEL-201,SUP-EPSILON,M-305,NIGHT,10947.35,11107.59,45.5,46.4,381,11,False,2025-10-06,2025-10-08,2025-10-07T15:32:56.040075
WO-PROD-5011,1,True,MAT-RESIN-150,SUP-ZETA,M-305,NIGHT,11039.23,10620.17,52.8,54.7,360,10,False,2025-09-15,2025-09-17,2025-10-07T15:32:56.040081
WO-PROD-5012,1,True,MAT-PLASTIC-88,SUP-EPSILON,M-305,DAY,13610.42,13630.72,43.9,44.7,308,9,False,2025-09-17,2025-09-19,2025-10-07T15:32:56.040086
WO-PROD-5013,1,True,MAT-RESIN-150,SUP-EPSILON,M-101,NIGHT,11206.8,11235.94,48.4,50.1,437,13,False,2025-10-06,2025-10-08,2025-10-07T15:32:56.040092
WO-PROD-5014,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-204,NIGHT,9837.49,9615.47,36.2,38.6,334,10,False,2025-10-05,2025-10-07,2025-10-07T15:32:56.040097
WO-PROD-5015,1,True,MAT-RESIN-150,SUP-EPSILON,M-101,DAY,11794.4,11514.91,46.3,46.5,473,14,False,2025-09-22,2025-09-24,2025-10-07T15:32:56.040102
WO-PROD-5016,1,True,MAT-RESIN-150,SUP-EPSILON,M-101,NIGHT,12199.87,12764.71,58.7,60.0,414,12,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.040107
WO-PROD-5017,1,True,MAT-PLASTIC-88,SUP-EPSILON,M-101,DAY,12340.84,11899.35,39.1,39.5,301,9,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.040112
WO-PROD-5018,1,True,MAT-RESIN-150,SUP-ZETA,M-305,DAY,12441.18,12107.47,59.7,62.9,458,13,False,2025-09-22,2025-09-24,2025-10-07T15:32:56.040117
WO-PROD-5019,1,True,MAT-PLASTIC-88,SUP-ZETA,M-305,NIGHT,10633.58,10605.9,38.4,40.2,415,12,False,2025-09-27,2025-09-29,2025-10-07T15:32:56.040123
WO-PROD-5020,1,True,MAT-PLASTIC-88,SUP-ZETA,M-305,NIGHT,13483.76,14282.46,58.7,62.5,328,9,False,2025-09-15,2025-09-17,2025-10-07T15:32:56.040128
WO-PROD-5021,1,True,MAT-RESIN-150,SUP-GAMMA,M-204,NIGHT,9246.91,8931.14,55.9,59.9,356,10,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.040133
WO-PROD-5022,1,True,MAT-RESIN-150,SUP-ZETA,M-101,DAY,9762.53,9987.4,36.4,39.0,467,14,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.040138
WO-PROD-5023,1,True,MAT-RESIN-150,SUP-EPSILON,M-305,NIGHT,12580.75,12801.74,58.0,60.9,467,14,False,2025-09-15,2025-09-17,2025-10-07T15:32:56.040143
WO-PROD-5024,1,True,MAT-RESIN-150,SUP-ZETA,M-305,DAY,12614.71,12213.33,40.9,42.0,379,11,False,2025-09-30,2025-10-02,2025-10-07T15:32:56.040149
WO-PROD-5025,1,True,MAT-RESIN-150,SUP-ZETA,M-204,NIGHT,12245.34,12764.9,45.1,43.5,312,9,False,2025-10-01,2025-10-03,2025-10-07T15:32:56.040154
WO-PROD-5026,1,True,MAT-PLASTIC-88,SUP-ZETA,M-204,DAY,10539.04,10329.39,45.8,43.6,477,14,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.040159
WO-PROD-5027,1,True,MAT-RESIN-150,SUP-EPSILON,M-101,DAY,11938.08,11918.21,40.2,41.8,499,14,False,2025-09-26,2025-09-28,2025-10-07T15:32:56.040164
WO-PROD-5028,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-204,NIGHT,13994.13,14521.82,40.9,39.4,440,13,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.040170
WO-PROD-5029,1,True,MAT-STEEL-201,SUP-GAMMA,M-101,DAY,10730.85,10955.91,43.1,45.8,430,12,False,2025-09-23,2025-09-25,2025-10-07T15:32:56.040175
WO-PROD-5030,1,True,MAT-STEEL-201,SUP-EPSILON,M-101,DAY,12777.04,13244.14,40.6,39.1,403,12,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040180
WO-PROD-5031,1,True,MAT-RESIN-150,SUP-GAMMA,M-204,NIGHT,9063.34,9185.77,41.9,40.4,385,11,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.040185
WO-PROD-5032,1,True,MAT-RESIN-150,SUP-ZETA,M-204,DAY,10349.17,10909.2,59.8,57.3,496,14,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040190
WO-PROD-5033,1,True,MAT-STEEL-201,SUP-ZETA,M-305,NIGHT,11656.98,12133.48,41.6,43.1,500,15,False,2025-09-27,2025-09-29,2025-10-07T15:32:56.040195
WO-PROD-5034,1,True,MAT-RESIN-150,SUP-EPSILON,M-305,DAY,11126.35,11001.75,43.0,42.9,340,10,False,2025-09-16,2025-09-18,2025-10-07T15:32:56.040200
WO-PROD-5035,1,True,MAT-STEEL-201,SUP-GAMMA,M-101,DAY,13952.05,13912.34,51.6,51.5,487,14,False,2025-10-05,2025-10-07,2025-10-07T15:32:56.040205
WO-PROD-5036,1,True,MAT-RESIN-150,SUP-EPSILON,M-101,NIGHT,11677.35,11889.62,53.9,56.0,351,10,False,2025-09-27,2025-09-29,2025-10-07T15:32:56.040210
WO-PROD-5037,1,True,MAT-RESIN-150,SUP-EPSILON,M-101,NIGHT,10330.44,10001.59,54.4,55.0,369,11,False,2025-09-14,2025-09-16,2025-10-07T15:32:56.040216
WO-PROD-5038,1,True,MAT-PLASTIC-88,SUP-ZETA,M-305,DAY,9043.45,9386.51,37.0,35.8,338,10,False,2025-09-21,2025-09-23,2025-10-07T15:32:56.040221
WO-PROD-5039,1,True,MAT-RESIN-150,SUP-EPSILON,M-204,NIGHT,13775.51,14506.08,51.2,49.3,356,10,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.040226
WO-PROD-5040,1,True,MAT-RESIN-150,SUP-EPSILON,M-305,DAY,10686.45,10945.68,56.4,60.2,464,13,False,2025-09-15,2025-09-17,2025-10-07T15:32:56.040231
WO-PROD-5041,1,True,MAT-PLASTIC-88,SUP-ZETA,M-101,NIGHT,10270.54,10033.51,46.8,49.1,317,9,False,2025-09-12,2025-09-14,2025-10-07T15:32:56.040236
WO-PROD-5042,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-305,NIGHT,12934.89,12702.98,37.7,37.2,441,13,False,2025-09-13,2025-09-15,2025-10-07T15:32:56.040241
WO-PROD-5043,1,True,MAT-PLASTIC-88,SUP-ZETA,M-101,NIGHT,10148.5,10020.25,44.9,43.2,478,14,False,2025-10-06,2025-10-08,2025-10-07T15:32:56.040247
WO-PROD-5044,1,True,MAT-PLASTIC-88,SUP-EPSILON,M-101,DAY,13008.62,13034.04,45.5,43.4,386,11,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040252
WO-PROD-5045,1,True,MAT-STEEL-201,SUP-EPSILON,M-204,DAY,11527.66,12065.81,54.0,53.3,375,11,False,2025-09-21,2025-09-23,2025-10-07T15:32:56.040257
WO-PROD-5046,1,True,MAT-PLASTIC-88,SUP-EPSILON,M-305,DAY,13133.75,12839.25,52.6,56.5,435,13,False,2025-10-02,2025-10-04,2025-10-07T15:32:56.040262
WO-PROD-5047,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-204,DAY,13042.38,13112.39,45.4,45.5,477,14,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.040267
WO-PROD-5048,1,True,MAT-RESIN-150,SUP-EPSILON,M-305,NIGHT,11850.36,11623.99,56.7,54.0,302,9,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.040272
WO-PROD-5049,1,True,MAT-STEEL-201,SUP-ZETA,M-305,NIGHT,11447.04,11785.5,58.6,61.0,305,9,False,2025-10-03,2025-10-05,2025-10-07T15:32:56.040277
WO-PROD-5050,1,True,MAT-STEEL-201,SUP-GAMMA,M-305,DAY,11156.91,11673.14,49.9,51.2,437,13,False,2025-09-19,2025-09-21,2025-10-07T15:32:56.040283
WO-PROD-5051,1,True,MAT-RESIN-150,SUP-EPSILON,M-305,DAY,10595.83,10177.44,47.1,47.5,331,9,False,2025-10-01,2025-10-03,2025-10-07T15:32:56.040288
WO-PROD-5052,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-204,NIGHT,13539.06,13202.38,57.5,58.6,420,12,False,2025-09-30,2025-10-02,2025-10-07T15:32:56.040293
WO-PROD-5053,1,True,MAT-RESIN-150,SUP-GAMMA,M-305,NIGHT,11029.34,11283.04,39.8,42.8,348,10,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040298
WO-PROD-5054,1,True,MAT-STEEL-201,SUP-GAMMA,M-305,NIGHT,12459.6,12048.67,59.5,62.9,480,14,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040303
WO-PROD-5055,1,True,MAT-RESIN-150,SUP-GAMMA,M-101,NIGHT,13329.1,13102.6,42.5,42.6,488,14,False,2025-09-14,2025-09-16,2025-10-07T15:32:56.040308
WO-PROD-5056,1,True,MAT-STEEL-201,SUP-EPSILON,M-101,DAY,12073.72,11942.36,52.3,55.5,307,9,False,2025-10-03,2025-10-05,2025-10-07T15:32:56.040314
WO-PROD-5057,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-101,NIGHT,9748.68,9488.7,48.2,50.5,347,10,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040319
WO-PROD-5058,1,True,MAT-STEEL-201,SUP-EPSILON,M-101,NIGHT,12454.65,12961.77,39.8,39.1,304,9,False,2025-09-17,2025-09-19,2025-10-07T15:32:56.040324
WO-PROD-5059,1,True,MAT-RESIN-150,SUP-GAMMA,M-101,DAY,12606.45,13304.69,44.9,47.5,359,10,False,2025-09-20,2025-09-22,2025-10-07T15:32:56.040329
WO-PROD-5060,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-101,NIGHT,11073.2,11031.89,55.6,55.4,474,14,False,2025-09-21,2025-09-23,2025-10-07T15:32:56.040334
WO-PROD-5061,1,True,MAT-PLASTIC-88,SUP-EPSILON,M-204,DAY,9460.78,9395.47,35.7,37.3,399,11,False,2025-09-21,2025-09-23,2025-10-07T15:32:56.040339
WO-PROD-5062,1,True,MAT-RESIN-150,SUP-ZETA,M-101,NIGHT,11918.56,12410.17,45.4,46.3,463,13,False,2025-09-18,2025-09-20,2025-10-07T15:32:56.040344
WO-PROD-5063,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-101,DAY,11410.11,11950.58,43.4,43.7,470,14,False,2025-10-01,2025-10-03,2025-10-07T15:32:56.040349
WO-PROD-5064,1,True,MAT-PLASTIC-88,SUP-ZETA,M-204,NIGHT,13825.77,14116.23,40.8,44.0,432,12,False,2025-09-15,2025-09-17,2025-10-07T15:32:56.040354
WO-PROD-5065,1,True,MAT-STEEL-201,SUP-GAMMA,M-101,DAY,9146.68,9057.59,38.3,41.1,412,12,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.040360
WO-PROD-5066,1,True,MAT-STEEL-201,SUP-GAMMA,M-204,NIGHT,13911.5,14032.59,35.3,36.4,343,10,False,2025-09-20,2025-09-22,2025-10-07T15:32:56.040365
WO-PROD-5067,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-305,DAY,11416.68,11430.98,46.8,50.1,407,12,False,2025-09-18,2025-09-20,2025-10-07T15:32:56.040370
WO-PROD-5068,1,True,MAT-STEEL-201,SUP-ZETA,M-305,DAY,12166.37,12197.56,53.9,51.7,471,14,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.040375
WO-PROD-5069,1,True,MAT-PLASTIC-88,SUP-ZETA,M-101,DAY,10492.32,10733.52,52.4,50.2,398,11,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.040380
WO-PROD-5070,1,True,MAT-STEEL-201,SUP-EPSILON,M-305,DAY,9665.24,9663.0,37.3,38.5,473,14,False,2025-09-17,2025-09-19,2025-10-07T15:32:56.040386
WO-PROD-5071,1,True,MAT-STEEL-201,SUP-ZETA,M-305,DAY,12839.43,13042.95,59.2,59.4,479,14,False,2025-10-02,2025-10-04,2025-10-07T15:32:56.040391
WO-PROD-5072,1,True,MAT-STEEL-201,SUP-EPSILON,M-101,DAY,11202.17,11414.28,43.8,46.0,353,10,False,2025-10-06,2025-10-08,2025-10-07T15:32:56.040396
WO-PROD-5073,1,True,MAT-RESIN-150,SUP-EPSILON,M-101,NIGHT,11295.36,11710.73,50.1,51.6,454,13,False,2025-09-25,2025-09-27,2025-10-07T15:32:56.040401
WO-PROD-5074,1,True,MAT-STEEL-201,SUP-GAMMA,M-101,DAY,13303.05,12982.38,46.8,45.7,340,10,False,2025-09-30,2025-10-02,2025-10-07T15:32:56.040406
WO-PROD-5075,1,True,MAT-STEEL-201,SUP-EPSILON,M-305,NIGHT,9483.73,9631.56,46.1,46.9,491,14,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.040411
WO-PROD-5076,1,True,MAT-RESIN-150,SUP-ZETA,M-305,NIGHT,11329.64,11905.08,39.0,41.8,418,12,False,2025-10-06,2025-10-08,2025-10-07T15:32:56.040417
WO-PROD-5077,1,True,MAT-RESIN-150,SUP-ZETA,M-305,NIGHT,13750.04,13630.8,40.9,39.7,448,13,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040423
WO-PROD-5078,1,True,MAT-RESIN-150,SUP-ZETA,M-305,DAY,9281.53,9780.95,39.1,39.7,360,10,False,2025-09-13,2025-09-15,2025-10-07T15:32:56.040428
WO-PROD-5079,1,True,MAT-RESIN-150,SUP-EPSILON,M-305,NIGHT,11418.32,11516.7,52.0,53.4,373,11,False,2025-09-08,2025-09-10,2025-10-07T15:32:56.040433
WO-PROD-5080,1,True,MAT-STEEL-201,SUP-EPSILON,M-305,DAY,13709.17,13260.89,59.8,58.0,460,13,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.040461
WO-PROD-5081,1,True,MAT-RESIN-150,SUP-GAMMA,M-101,NIGHT,13520.03,13747.0,42.8,46.2,370,11,False,2025-09-28,2025-09-30,2025-10-07T15:32:56.040467
WO-PROD-5082,1,True,MAT-PLASTIC-88,SUP-GAMMA,M-305,NIGHT,9019.12,8800.89,49.3,49.4,438,13,False,2025-09-09,2025-09-11,2025-10-07T15:32:56.040472
WO-PROD-5083,1,True,MAT-STEEL-201,SUP-GAMMA,M-305,DAY,9617.26,9849.83,43.6,46.8,397,11,False,2025-09-26,2025-09-28,2025-10-07T15:32:56.040477
WO-PROD-5084,1,True,MAT-STEEL-201,SUP-GAMMA,M-204,DAY,9216.54,9133.3,46.0,45.6,315,9,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040482
WO-PROD-5085,1,True,MAT-RESIN-150,SUP-ZETA,M-204,DAY,10097.06,10310.99,36.4,35.8,478,14,False,2025-10-01,2025-10-03,2025-10-07T15:32:56.040488
WO-PROD-5086,1,True,MAT-RESIN-150,SUP-GAMMA,M-101,DAY,12167.73,11887.89,50.8,50.7,422,12,False,2025-09-10,2025-09-12,2025-10-07T15:32:56.040493
WO-PROD-5087,1,True,MAT-RESIN-150,SUP-EPSILON,M-305,NIGHT,13813.81,13349.71,50.0,48.0,355,10,False,2025-09-12,2025-09-14,2025-10-07T15:32:56.040498
WO-PROD-5088,1,True,MAT-RESIN-150,SUP-EPSILON,M-101,DAY,9174.89,9017.9,37.2,38.7,321,9,False,2025-09-22,2025-09-24,2025-10-07T15:32:56.040521
WO-PROD-5089,1,True,MAT-STEEL-201,SUP-EPSILON,M-305,DAY,13806.81,13793.09,50.5,53.3,359,10,False,2025-09-20,2025-09-22,2025-10-07T15:32:56.040548
WO-PROD-5090,1,True,MAT-STEEL-201,SUP-EPSILON,M-204,DAY,9960.79,10157.11,55.0,58.7,402,12,False,2025-09-24,2025-09-26,2025-10-07T15:32:56.040565
WO-PROD-5091,1,True,MAT-RESIN-150,SUP-ZETA,M-204,NIGHT,13257.91,13345.82,49.0,47.8,333,9,False,2025-09-10,2025-09-12,2025-10-07T15:32:56.040581
WO-PROD-5092,1,True,MAT-PLASTIC-88,SUP-EPSILON,M-101,NIGHT,13914.9,13805.07,38.0,37.0,395,11,False,2025-09-07,2025-09-09,2025-10-07T15:32:56.040597
WO-PROD-5093,1,True,MAT-PLASTIC-88,SUP-ZETA,M-204,DAY,12363.77,13064.05,39.9,40.6,379,11,False,2025-09-29,2025-10-01,2025-10-07T15:32:56.040614
WO-PROD-5094,1,True,MAT-RESIN-150,SUP-ZETA,M-305,NIGHT,12090.1,11960.61,47.2,46.5,492,14,False,2025-09-17,2025-09-19,2025-10-07T15:32:56.040630
WO-PROD-5095,1,True,MAT-PLASTIC-88,SUP-EPSILON,M-305,NIGHT,13181.18,13137.39,50.9,51.5,401,12,False,2025-09-30,2025-10-02,2025-10-07T15:32:56.040658
WO-PROD-5096,1,True,MAT-STEEL-201,SUP-ZETA,M-101,DAY,11568.76,11768.3,41.2,40.4,467,14,False,2025-09-27,2025-09-29,2025-10-07T15:32:56.040668
WO-PROD-5097,1,True,MAT-RESIN-150,SUP-ZETA,M-101,DAY,12866.67,13345.18,48.2,50.5,471,14,False,2025-09-20,2025-09-22,2025-10-07T15:32:56.040692
WO-PROD-5098,1,True,MAT-STEEL-201,SUP-GAMMA,M-204,NIGHT,13129.41,12638.17,46.4,50.1,392,11,False,2025-09-11,2025-09-13,2025-10-07T15:32:56.040709
WO-PROD-5099,1,True,MAT-STEEL-201,SUP-GAMMA,M-101,NIGHT,10768.45,11203.46,48.6,46.9,433,12,False,2025-10-02,2025-10-04,2025-10-07T15:32:56.040725
