work_order_number,facility_id,planned_material_cost,actual_material_cost,planned_labor_hours,actual_labor_hours,material_code,supplier_id,units_produced,units_scrapped,quality_issues,machine_id,production_period_start,production_period_end
AUTO-PROD-1057,1,7699.09,8278.35,66.1,62.7,ALUM-6061,SUP-AUTO-002,291,0,True,PRESS-305,2025-10-10,2025-10-14
AUTO-PROD-1058,1,11749.05,15945.63,104.0,102.6,STEEL-304L,SUP-AUTO-002,543,2,True,CNC-202,2025-10-02,2025-10-06
AUTO-PROD-1059,1,3024.48,3896.65,85.6,87.3,RUBBER-EPDM,SUP-AUTO-003,359,4,False,CNC-101,2025-10-11,2025-10-14
AUTO-PROD-1060,1,12269.78,11814.53,114.5,122.8,STEEL-304L,SUP-AUTO-001,531,6,True,CNC-101,2025-09-14,2025-09-16
AUTO-PROD-1061,1,3182.39,3100.55,104.7,110.1,RUBBER-EPDM,SUP-AUTO-001,448,5,False,CNC-101,2025-09-20,2025-09-24
AUTO-PROD-1062,1,7750.4,8174.14,106.0,111.5,ALUM-6061,SUP-AUTO-002,328,2,False,CNC-202,2025-09-19,2025-09-21
AUTO-PROD-1063,1,7679.87,8021.78,78.9,76.6,ALUM-6061,SUP-AUTO-002,203,2,True,PRESS-305,2025-09-21,2025-09-24
AUTO-PROD-1064,1,8662.27,8299.92,64.8,62.6,ALUM-6061,SUP-AUTO-001,347,1,False,WELD-401,2025-10-04,2025-10-09
AUTO-PROD-1065,1,5999.79,6317.13,84.2,89.8,PLASTIC-ABS,SUP-AUTO-003,296,2,True,CNC-101,2025-09-13,2025-09-15
AUTO-PROD-1066,1,8451.56,8527.09,97.0,102.5,ALUM-6061,SUP-AUTO-003,387,0,True,WELD-401,2025-10-09,2025-10-11
AUTO-PROD-1067,1,9079.05,9522.16,62.5,60.1,ALUM-6061,SUP-AUTO-001,284,4,True,WELD-401,2025-09-26,2025-10-01
AUTO-PROD-1068,1,8399.93,8946.59,119.7,117.4,ALUM-6061,SUP-AUTO-002,432,6,True,CNC-202,2025-09-15,2025-09-20
AUTO-PROD-1069,1,2928.41,2911.23,102.2,112.4,RUBBER-EPDM,SUP-AUTO-002,226,2,False,CNC-101,2025-09-24,2025-09-27
AUTO-PROD-1070,1,3032.04,2889.96,62.3,64.2,RUBBER-EPDM,SUP-AUTO-001,250,2,False,WELD-401,2025-09-21,2025-09-23
AUTO-PROD-1071,1,5920.47,5772.59,109.3,116.3,PLASTIC-ABS,SUP-AUTO-002,387,0,True,WELD-401,2025-09-15,2025-09-17
AUTO-PROD-1072,1,6010.91,5728.65,76.6,75.6,PLASTIC-ABS,SUP-AUTO-003,541,6,False,CNC-101,2025-09-24,2025-09-28
AUTO-PROD-1073,1,13131.42,12993.2,95.1,96.9,STEEL-304L,SUP-AUTO-001,272,2,True,CNC-202,2025-09-21,2025-09-24
AUTO-PROD-1074,1,11912.53,11557.71,97.3,106.1,STEEL-304L,SUP-AUTO-003,333,2,True,CNC-101,2025-09-24,2025-09-28
AUTO-PROD-1075,1,3455.93,3588.53,77.0,74.7,RUBBER-EPDM,SUP-AUTO-002,203,2,False,WELD-401,2025-09-23,2025-09-27
AUTO-PROD-1076,1,8395.48,9007.03,48.4,50.4,ALUM-6061,SUP-AUTO-003,423,8,True,CNC-101,2025-09-17,2025-09-20
AUTO-PROD-1077,1,10964.75,11717.74,106.4,104.6,STEEL-304L,SUP-AUTO-002,228,3,True,PRESS-305,2025-09-20,2025-09-25
AUTO-PROD-1078,1,12591.72,12829.08,53.0,55.8,STEEL-304L,SUP-AUTO-001,312,4,True,PRESS-305,2025-09-23,2025-09-28
AUTO-PROD-1079,1,9229.67,9576.02,97.3,94.8,ALUM-6061,SUP-AUTO-001,400,2,False,CNC-202,2025-10-01,2025-10-05
AUTO-PROD-1080,1,13106.7,17802.69,72.9,74.0,STEEL-304L,SUP-AUTO-001,229,1,False,WELD-401,2025-09-23,2025-09-25
AUTO-PROD-1081,1,13028.2,16569.7,59.4,56.6,STEEL-304L,SUP-AUTO-002,579,1,False,CNC-101,2025-10-09,2025-10-14
AUTO-PROD-1082,1,8490.24,8616.64,60.6,60.8,ALUM-6061,SUP-AUTO-001,295,5,True,WELD-401,2025-10-09,2025-10-12
AUTO-PROD-1083,1,12575.52,13437.34,87.9,89.9,STEEL-304L,SUP-AUTO-001,391,4,True,PRESS-305,2025-09-23,2025-09-26
AUTO-PROD-1084,1,10849.39,11613.63,96.0,88.5,STEEL-304L,SUP-AUTO-001,355,2,False,PRESS-305,2025-09-13,2025-09-15
AUTO-PROD-1085,1,11450.41,11962.08,53.1,58.2,STEEL-304L,SUP-AUTO-002,217,3,True,WELD-401,2025-09-23,2025-09-26
AUTO-PROD-1086,1,8342.86,8237.4,56.5,56.0,ALUM-6061,SUP-AUTO-001,526,2,True,PRESS-305,2025-09-29,2025-10-01
AUTO-PROD-1087,1,7703.47,7334.44,108.3,116.0,ALUM-6061,SUP-AUTO-003,399,1,False,CNC-202,2025-09-21,2025-09-23
AUTO-PROD-1088,1,11859.76,15662.08,84.5,81.2,STEEL-304L,SUP-AUTO-001,551,11,False,WELD-401,2025-09-21,2025-09-24
AUTO-PROD-1089,1,8385.13,8406.47,119.2,117.3,ALUM-6061,SUP-AUTO-003,234,2,True,WELD-401,2025-09-29,2025-10-01
AUTO-PROD-1090,1,5484.99,5445.45,49.6,51.1,PLASTIC-ABS,SUP-AUTO-001,486,0,True,CNC-202,2025-09-19,2025-09-21
AUTO-PROD-1091,1,5251.14,5100.11,47.9,48.9,PLASTIC-ABS,SUP-AUTO-001,479,5,False,WELD-401,2025-10-09,2025-10-13
AUTO-PROD-1092,1,5576.85,5898.05,105.5,115.2,PLASTIC-ABS,SUP-AUTO-003,278,1,False,WELD-401,2025-09-19,2025-09-23
AUTO-PROD-1093,1,3502.13,4240.93,52.9,53.0,RUBBER-EPDM,SUP-AUTO-003,540,5,True,PRESS-305,2025-09-20,2025-09-23
AUTO-PROD-1094,1,8160.5,8522.24,102.5,98.1,ALUM-6061,SUP-AUTO-002,517,5,True,CNC-202,2025-10-10,2025-10-14
AUTO-PROD-1095,1,7993.28,7812.25,90.4,93.8,ALUM-6061,SUP-AUTO-003,271,3,False,CNC-202,2025-09-13,2025-09-17
AUTO-PROD-1096,1,8317.42,8819.77,106.1,116.2,ALUM-6061,SUP-AUTO-003,385,1,False,WELD-401,2025-09-21,2025-09-24
AUTO-PROD-1097,1,11283.39,11238.38,104.7,114.9,STEEL-304L,SUP-AUTO-003,546,10,False,CNC-101,2025-09-14,2025-09-19
AUTO-PROD-1098,1,3100.65,3034.45,103.6,103.5,RUBBER-EPDM,SUP-AUTO-003,458,3,False,PRESS-305,2025-09-18,2025-09-20
AUTO-PROD-1099,1,7990.96,8109.77,105.1,111.9,ALUM-6061,SUP-AUTO-002,455,3,False,CNC-202,2025-09-24,2025-09-27
